,Title,Published_date,Views,Likes,Favourites,Comments,Month
224,The Data Science Interview: What to Expect,2019-12-30,8448,375,0,32,Dec
225,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
226,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16504,576,0,93,Dec
227,Collision Course: Sports Betting + Data Science,2019-12-20,17370,488,0,27,Dec
228,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100899,2938,0,204,Dec
229,5 Sports Analytics Books to Get You Started,2019-12-13,10702,409,0,59,Dec
230,Math Needed for Mastering Data Science,2019-12-09,56085,2851,0,222,Dec
231,The 5 Stages of Data Science Adoption,2019-12-06,1320,69,0,17,Dec
232,How YOU Can Land a Sports Analytics Job,2019-12-02,68710,3056,0,231,Dec
233,Data Science Fundamentals: Linear Regression,2019-11-29,6319,172,0,42,Nov
234,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1060,53,0,12,Nov
235,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5978,270,0,26,Nov
236,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46090,1755,0,80,Nov
237,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5928,137,0,31,Nov
238,Why Selling Is An Important Data Science Skill,2019-11-04,1623,79,0,13,Nov
239,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2819,73,0,18,Oct
240,Why is Balance Important in Data Science?,2019-10-16,702,32,0,13,Oct
241,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11829,581,0,54,Sep
242,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3817,115,0,33,Sep
243,6 Habits of Successful Data Scientists,2019-09-13,2211,95,0,17,Sep
244,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4548,101,0,9,Sep
245,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,519,24,0,29,Aug
246,Is Data Science Right For You?,2019-08-18,50612,1177,0,109,Aug
247,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14775,392,0,55,Aug
248,How To Get Data Science Experience (Without a Job),2019-08-08,29312,1385,0,75,Aug
249,Take Your Data Science Projects From Good to Great,2019-08-05,1603,107,0,11,Aug
250,The Projects You Should Do To Get A Data Science Job,2019-07-30,149890,5691,0,255,Jul
251,What Does a Data Scientist Actually Do?,2019-07-19,45867,1264,0,81,Jul
252,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12862,353,0,42,Jul
253,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17778,527,0,61,Jul
254,Data Science: Pros and Cons,2019-06-30,5194,215,0,18,Jun
255,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24474,1188,0,89,Jun
256,My Top 5 Data Science Internship Tips,2019-06-15,11840,493,0,23,Jun
257,Golf STATS: Strokes Gained Explained,2019-06-07,7374,151,0,28,Jun
258,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,0,5,May
259,What I Learned From My Three Degrees,2019-05-17,1254,60,0,12,May
260,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25650,1071,0,66,May
261,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1246,40,0,2,May
262,Should You Learn R for Data Science?,2019-04-25,20793,558,0,71,Apr
263,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46350,856,0,334,Apr
264,Work From Home Data Scientist: Day in the Life,2019-04-12,28067,760,0,101,Apr
265,Where to Look for Data Science Jobs,2019-03-29,3005,120,0,9,Mar
266,Data Science: Startup vs. Large Corporation,2019-03-21,2119,74,0,4,Mar
267,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6137,175,0,26,Mar
268,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4179,180,0,15,Mar
